ISBN,Title,Author,Date Published,MSRP,New,Used,
9780850598773,The British aircraft carrier,"Beaver, Paul",1987,28.5,85.46,6.73,
517633329,"The Fighting Ship of the Royal Navy, 897-1984",E.H.H. Archibald,1987,12.99,31.5,6.63,
9780713716603,"War at sea, 1939-1945","Hamilton, John",1986,0,54.76,6.41,
9780283073540,The Imperial War Museum Book of the War at Sea 1914-1918: The Face of Battle Revealed in the Words of the Men Who Fought,"Thompson, Gen. Julian",2005,45,33.19,6.16,
9781783400621,Sailors on the Rocks: Famous Royal Navy Shipwrecks,"Smith, Peter C.",2016,0,13.38,6.16,
9780283073540,The Imperial War Museum Book of the War at Sea 1914-1918: The Face of Battle Revealed in the Words of the Men Who Fought,"Thompson, Gen. Julian",2005,45,33.19,6.16,
9780752566986,HISTORY OF THE ROYAL NAVY (COFFEE TABLE BOOKS),"Jackson, Robert.",2001,0,48.56,6.15,
9780752566986,HISTORY OF THE ROYAL NAVY (COFFEE TABLE BOOKS),"Jackson, Robert.",2001,0,48.56,6.15,
9781557507303,The Royal Navy: An Illustrated History,"Watts, Anthony J.",1994,32.95,17.94,6.04,
9781591141600,"Royal Navy and the Battle of Britain, The",Anthony J. Cumming,2010,34.95,11.99,6.03,
9780870210631,Duels in the Sky: World War II Naval Aircraft in Combat,"Brown, Eric M.",1988,32.95,34.76,5.99,
9780752220352,Hood and Bismarck: The Deep-Sea Discovery of an Epic Battle,David Mearns,2002,29.95,38.19,5.84,
831764201,"Normandy Campaign June and July, 1944","Patrick, Stephen",1986,9.98,13.99,5.63,
9780316557160,Inside the Titanic (A Giant Cutaway Book),"Brewster, Hugh",1997,19.99,41.49,5.6,
9780870215728,The Royal Navy and the Falklands war,"Brown, David",1987,4.93,57.02,5.09,
9781783462049,Capital Ships at War 1939 - 1945 (Despatches from the Front),"Grehan, John",2014,39.95,13.38,5.01,
9781510708600,Total Germany: The Royal Navy's War against the Axis Powers 1939?1945,"Wragg, David",2016,0,10.57,4.68,
9781435126664,Warships : WWII to the Present Day : Features Seven Views of Each Vessel,Martin J. Dougherty,2011,100,16.49,4.5,
809426641,The great liners (The Seafarers),"Maddocks, Melvin",1978,1.99,12.99,4.5,
9780394528335,"Dreadnought: Britain, Germany, and the Coming of the Great War","Massie, Robert K.",1991,35,13.99,4.49,
9780356122274,The rise and fall of the British Navy,"Humble, Richard",1986,1.99,13,4.45,
9780091801212,Standard of Power: The Royal Navy in the 20th Century,Dan Van Der Vat,2000,0,208.78,4.45,
9780470097557,Winning the Peace: The Marshall Plan and America's Coming of Age as a Superpower,"Mills, Nicolaus",2008,29.95,19.03,4.4,
525241213,"Naval Surgeon: The Voyages of Dr. Edward H. Cree, Royal Navy, as Related in His Private Journals, 1837-1856",Edward H. Cree,1982,24.75,26.1,4.09,
9780806528953,What Really Sank the Titanic: New Forensic Discoveries,Jennifer Hooper McCarty,2008,1.99,23.5,2.6,
,The British Admiralty,"Gardiner, Leslie",1968,,,,library book
,Loss of the Scharnhorst,"Watts, A.J.",1970,,,5,
,The Deadly Stroke,"Tute, Warren",1973,,,12,
,The Strategy of Sea Power Its Development and Application,"Roskill, S. W. Captain, R.N.",,,,20,
,"Statesmen and Sea Power, Based on the Ford Lectures Delivered in the University of Oxford In the Michaelmas Term 1943",,1946,,,25,
859371689,Three Before Breakfast,"Coles, Alan",1979,,,11.75,
,"Naval Policy Between the Wars, The Period of Anglo- American Antagonism 1919-1929 vol 1","Roskill, Stephen",1968,,,14.75,
2115611,"Naval Policy Between the Wars, The Period of Reluctant Rearment 1930-1939 vol 2. ","Roskill, Stephen",1976,,,17.75,
689111193,"Admiral of the Fleet Earl Beatty, The Last Navel Hero: An Intimate Biography","Roskill, Stephen",1981,,,14.95,
870218425,The Loss of the Prince of Wales & Repulse,"Bennett, Geoffrey",1973,,,17.47,
,British & Dominion Warships of World War II,"Lenton, H. T. & Colledge, J.J.",1968,,,15,
870218174,British Battleships of World War Two,"Raven, Alan & Roberts, John",1976,,,75.00+,
,"Operational Experience of Fast Battleships; World War II, Korea, Vietnam","Reilly, Jr. John",1989,,,50,
,Wings For the Fleet A Narrative of Naval Aviation's Early Development 1910-1916,"Van Deurs, George Rear Admiral",1966,,,35,
,Battleships and Battlecruisers,Humble  Richard,1983,,,10,
,"The Encyclopedia of Sea Warfare, From the First Ironclasd to the Present Day","Warner, Bennet, MacIntyre",1975,,,6.25,
,"The Fighting Ship of the Royal Navy, 897-1984","Archibald, E. H. H",1984,,,5,
,"Jutland, An Eyewitness Account of a Great Battle ","Legg, Stuart",1966,,,8,
,"The Life and Letters of David Betty, Admiral of the Fleet","Chalmers, W. S. Rear Admiral",1951,,,25,
,"The Kelly, the Life and deat of H.M.S Kelly, Lord Louis Mountbatten's destroyer","Poolman, Kenneth",1955,,,10,
,"The Great Naval Race, Anglo-German Naval Rivalry 1900-1914","Padfield, Peter",1974,,,29.95,
313281246,"The Battlle of Jutland, A Bibliography","Rasor, Eugene",,,,44,
60159677,The Atlantic Campaign World War II's Great Struggle at Sea,"vanDer Vat, Dan",1988,,,5,
718118138,Jellicoe,"Winton, John",1981,,,41,
316358908,"Politics of Frustration: The United States in German Naval Planning, 1889-1941","Herwig, Holger",1976,,,13.37,
,"Roger Keyes, Being the Biography of Admiral of the Fleet Lord Keye","Aspinall-Oglander, Cecil",1951,,,10.55,
689111193,"Admiral of the Fleet Earl Beatty, The Last Navel Hero: An Intimate Biography","Roskill, Stephen",1981,,,15,
,"War, Mutiny and Revolution in the German Navy, The WW I Diary of Seaman Richard Stumpf","Horn, Daniel",1967,,,,
,Operation Sea Lions; The Projected invasion of England in 1940- An account of the German Preparations and the British Countermeasures,"Fleming, Peter",1957,,,,
,"Pictorial History of the Royal Navy, Vol 2 1880-1914","Watts, Anthony",1971,,,,
933126301,"Battleship Country: The Battle Fleet At Sand Pedro- Long Beach, California 1919-1940","Beigel, Harvey",in plastic,,,,
,"The Turn of the Tide, 1939-1943","Bryant, Arthur",1957,,,,
,"The Price of Admiralty, An Indictment of Royal Navy, 1805-1966","Bonnett, Stanley",1968,,,,
,The Story of the U-505,Musuem of Science and Industry,1981,,,,
,"The Naval Annual, 1913",Viscount Hythe,1913,,,,
710600437,The Decline of British Seapower,"Wettern, Desmond",1982,,,,
715355031,The Battle of Jutland,"Bennett, Geoffrey",1980,,,,
,Operation  Seal Lion The Projected Invasion of England in 1940- An Account of the German preparations and the British Countermeasures  ,"Fleming, Peter",1957,,,,
9781591141600,The Royal Navy and the Battle of Britain,"Cumming, Anthony",2010,,,,
,Narvik: An outspoken account of a heroic failure- ranking the Charge of the Light Brigade and Dunkirk,"Macintyre, Donald Captain",1959,library book,,,
,The Battleship Era,"Padfield, Peter",1972,,,,
,"The Mighty Hood, The Life and Death of Britain's Proudest Warship","Bradford, Ernle",1959,library book,,,
,"The Anatomy of British Sea Power, A History of British Naval Policy in the Pre-Dreadnought Era, 1880-1905",,1940,,,,
,"The Sword-Bearers, Supreme Command in the First World War","Barnett, Correlli",1964,,,,
870212664,A Naval History of World War I,"Halpern, Paul",1994,,,,
690012225,"Air Power At Sea, 1939-1945","Winton, John",1977,,,,
,Ark Royal: the Admiralty Account of Her Acievement,Ministry of Information,1942,,,,
