ISBN,Title,Author,Date Published,MSRP,New,Used,
,"The Southern Railway's Spencer Shops, 1896-1996","Galloway, Duane and Wrinn, Jim",1996,,,13.19,
,"Ilinois Railway Museum, A Museum in Motion","Heirer, Greg and Joyce",2004,,,,
,"ON the Main Line, The Pennsylvania Railroad in the 19th Century","Alexander, Edwin",1971,,,,
,"Bershire Days on the Boston & Albany, The Steam Locomotives of the B & A, 1925",,,,,,
,Four Great Divisions,"Henderson, John",1968,,,,
,The Rutand Road,Shaug,,,,,
,"A Special History Study: Pennsylvania Railroad Shops and Works, Altoona, Pennsylvania","Paige, John",1989,,,,
,"Steam and Trolley Days on the Fonda, Johnstown and Gloversville Railroad","Nestle, David and Gordon, William",,,,,
,"Railway Mechanical Engineer, June 1937 The Wine Railway Appliance, Co",,1937,,,,
,"Locomotive Engineers Journal, May 1938","Smith, Paul",1938,,,,
,Men and Iron,"Hungerford, Edward",1938,,,,
911581014,A.C. Gilbert's Herritage,"Heimburger,Donald",1983,,first edition,,
,"Steel Rails to Victory, A Photographic History of Railway Operations During World War II","Ziel, Ron",1970,,,,
,"100 Years of Steam Locomotives, Collector's Edition ","Lucas, Walter ",1981,,,,
,20th Century,"Beebe, Lucius",1962,,,,
907874053,World Atlas of Railways,"Nock, Os",1978,,,,
,The Twilight of Steam Locomotives,"Ziel, Ron",1963,,,,
,Riding the Limiteds' Locomotives,"Hill, Colonel Howard G.",1972,,,,
,Portrait of the Rails from Steam to Diesel,"Ball, Don Jr.",1972,,,,
,"Maintenance Program and Track Chart, Albany Division",,1999,,,,
,"New York Central Lines, Industrial Directory and Shippers' Guide",,1921,,15,,
912318155,"The Car Builders' Dictionary, An Illustrated Vocabulary of terms which designate American Railroad Cars 1906","Hitt, Rodney",1971,,15,,
912318155,"The Car Builders' Dictionary, An Illustrated Vocabulary of terms which designate American Railroad Cars 1906","Hitt, Rodney",1971,,,,
,Car Builder's Cyclopedia 1940,"Wright, Roy",1973,,72,,
,Car Builder's Cyclopedia 1943,"Wright, Roy",1943,,200,,
,Car Builder's Cyclopedia 1946,"Wright, Roy",1946,,150-200,,
,Car Builder's Cyclopedia 1946,"Wright, Roy",1946,,150-200,,
,Car Builder's Cyclopedia 1957,"Combes, CL",1957,,75,,
,Car Builder's Cyclopedia 1949-1951,"Peck,C.B.",1949,,250+,,
,"Car Builder's Cyclopedia,19th edition","Peck,C.B.",1953,,125,,
,"Car Builder's Cyclopedia, 20th edition ","Combes, CL",1957,,,Library book,
1559181443,"Modern Locomotive Construction, 1892","Meyer, J.G. A. ",1994,,20,,
,Locomotive Cyclopedia 1925,"Wright, Roy",1925,,500+,poor condition,
912318384,Locomotive Cyclopedia 1925,"Wright, Roy",1973,,200+,,
912318384,Locomotive Cyclopedia 1925,"Wright, Roy",1973,,200+,,
,Locomotive Cyclopedia 1927,"Wright, Roy",1927,,150+,,
,Locomotive Cyclopedia 1938,"Wright, Roy",1938,,495,good condition,Rare 
,"Locomotive Cyclopedia 1944, Steam Locomotives, Electric Locomotives, Diesel Locomotives","Wright, Roy",1944,,100-200?,,"Rare, can't find on internet"
,Locomotive Cyclopedia 1950-1952,"Peck,C.B.",1952,,300+,,
,Railway Engineering and Maintenance Cyclopedia,"Howson, Elmer",1926,,400 +,second edition,"Rare, can't find on internet"
,Railway Engineering and Maintenance Cyclopedia,,1926,,400+,second edition,"Rare, can't find on internet"
,"Railway Engineering and Maintenance Cyclopedia, Track Signals, Bridges, Buildings, Water Service ",,1939,,150-200,,
,"Official Document Book, New York State Freedom Train",Freedom Train Commission,1949,,,,library book
,The One Hundredth Anniversary 1826-1926 The New York Central Railroad,Putnam and Sons,1926,,45,,
,The One Hundredth Anniversary 1826-1926 The New York Central Railroad,Putnam and Sons,1926,,45,,
,"Railway Training by Railway Mend For Railway Men, vol 1","Cordeal, Ernest",1925,,45,,"Rare, Can't find on internet"
,"Railway Training by Railway Mend For Railway Men, vol 2","Cordeal, Ernest",1927,,70,,"Rare, Can't find on internet"
,"The Upper Mohawk Valley, A land of Industry",Utica Gas & Electric Company,1923,,,,Unable to find
,"LGB Catalog 1993-1994, 25 Yers of the World of LGB",LGB,1993,,,,
,"Locomotive Cyclopedia, Shops and Engine Terminals, 1944","Wilcox, H.C.",1944,,,,
,20th Century,"Beebe, Lucius",1962,,,,
944513026,"New York Central's Later Power, 1910-168","Staufer, Alvin and May, Edward",1981,,,,Poor condition
,New York Central System Thoroughbreds,"Staufer, Alvin and May, Edward",1974,,,,
,The American Heritage History of Railroads in America,"Jensen, Oliver",1975,,,,In Dust box
,New York State Freedom Train,New York State Library,1959,,6,,
,"The Bessemer and Lake Erie Railroad, 1869-1969","Beaver, Roy C. ",1969,,,,
,"All Aboard America, The American Freedom Thrain",,1976,,35,,
,"New York Central Railroad, The Hudson Division","Trzoniec, Stan",2020,,,,
